MGI Gene ID	Gene Symbol	Gene Name	MGI Assay ID	Assay Type	Age	Theiler Stage	Structure	Detected	TPM Level (RNA-Seq)	Biological Replicates (RNA-Seq)	Images	Mutant Allele(s)	Strain	Sex	Notes (RNA-Seq)	TPM (avg_quantile normalization)	MGI Reference ID	PubMed ID	Citation
MGI:1349406	Ddx3y	"DEAD box helicase 3, Y-linked"	MGI:5614815	RT-PCR	P adult	28	spleen	Yes									J:110867	16728723	"Vong QP, et al., J Androl. 2006 Sep-Oct;27(5):653-61"
MGI:1349406	Ddx3y	"DEAD box helicase 3, Y-linked"	MGI:5614891	RT-PCR	P adult	28	spleen	Yes									J:110867	16728723	"Vong QP, et al., J Androl. 2006 Sep-Oct;27(5):653-61"
MGI:1349406	Ddx3y	"DEAD box helicase 3, Y-linked"	MGI:5614894	RT-PCR	P adult	28	spleen	Yes									J:110867	16728723	"Vong QP, et al., J Androl. 2006 Sep-Oct;27(5):653-61"
MGI:1349406	Ddx3y	"DEAD box helicase 3, Y-linked"	E-MTAB-2801	RNA-Seq	P adult	28	spleen	Yes	Medium	1			DBA/2J	Male	"sample obtained from inner edge of spleen, avoiding blood vessels"	73	E-MTAB-2801		Strand-specific RNA-seq of nine mouse tissues
MGI:1349406	Ddx3y	"DEAD box helicase 3, Y-linked"	E-MTAB-2801	RNA-Seq	P adult	28	spleen	Yes	Medium	1			CD-1	Male	"sample obtained from inner edge of spleen, avoiding blood vessels"	81	E-MTAB-2801		Strand-specific RNA-seq of nine mouse tissues
MGI:1349406	Ddx3y	"DEAD box helicase 3, Y-linked"	E-MTAB-2801	RNA-Seq	P adult	28	spleen	Yes	Medium	1			C57BL/6	Male	"sample obtained from inner edge of spleen, avoiding blood vessels"	76	E-MTAB-2801		Strand-specific RNA-seq of nine mouse tissues
MGI:1349406	Ddx3y	"DEAD box helicase 3, Y-linked"	E-GEOD-74747	RNA-Seq	P w 8	28	spleen	Yes	Medium	1			C57BL/6	Male		89	E-GEOD-74747		RNA-seq of 9 tissues from an adult male C57BL/6 mouse
MGI:1349406	Ddx3y	"DEAD box helicase 3, Y-linked"	E-GEOD-60243	RNA-Seq	P w 12-14	28	spleen	Yes	Medium	8			involves: 129P2/OlaHsd * 129S2/SvPas * C57BL/6NTac	Male		210	E-GEOD-60243		Transcription profiling by high throughput sequencing of douple (TNFR1-/-/TNFR2-/-) and triple (Zfp36-/-/TNFR1-/-/TNFR2-/-) knockout mouse spleens
MGI:1349406	Ddx3y	"DEAD box helicase 3, Y-linked"	E-MTAB-4035	RNA-Seq	P w 16	28	spleen	Yes	Medium	9			C57BL/6N	Male		82	E-MTAB-4035		"RNAseq of coding RNA in the liver, spleen, kidney, abdominal muscle and gonadal adipose tissue of knock out mice and wild type controls"
MGI:1349430	Eif2s3y	"eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked"	E-MTAB-2801	RNA-Seq	P adult	28	spleen	Yes	Medium	1			DBA/2J	Male	"sample obtained from inner edge of spleen, avoiding blood vessels"	113	E-MTAB-2801		Strand-specific RNA-seq of nine mouse tissues
MGI:1349430	Eif2s3y	"eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked"	E-MTAB-2801	RNA-Seq	P adult	28	spleen	Yes	Medium	1			CD-1	Male	"sample obtained from inner edge of spleen, avoiding blood vessels"	96	E-MTAB-2801		Strand-specific RNA-seq of nine mouse tissues
MGI:1349430	Eif2s3y	"eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked"	E-MTAB-2801	RNA-Seq	P adult	28	spleen	Yes	Medium	1			C57BL/6	Male	"sample obtained from inner edge of spleen, avoiding blood vessels"	66	E-MTAB-2801		Strand-specific RNA-seq of nine mouse tissues
MGI:1349430	Eif2s3y	"eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked"	E-GEOD-74747	RNA-Seq	P w 8	28	spleen	Yes	Medium	1			C57BL/6	Male		69	E-GEOD-74747		RNA-seq of 9 tissues from an adult male C57BL/6 mouse
MGI:1349430	Eif2s3y	"eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked"	E-GEOD-60243	RNA-Seq	P w 12-14	28	spleen	Yes	Medium	8			involves: 129P2/OlaHsd * 129S2/SvPas * C57BL/6NTac	Male		146	E-GEOD-60243		Transcription profiling by high throughput sequencing of douple (TNFR1-/-/TNFR2-/-) and triple (Zfp36-/-/TNFR1-/-/TNFR2-/-) knockout mouse spleens
MGI:1349430	Eif2s3y	"eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked"	E-MTAB-4035	RNA-Seq	P w 16	28	spleen	Yes	Medium	9			C57BL/6N	Male		67	E-MTAB-4035		"RNAseq of coding RNA in the liver, spleen, kidney, abdominal muscle and gonadal adipose tissue of knock out mice and wild type controls"
MGI:3782191	Gm4017	predicted gene 4017	E-MTAB-2801	RNA-Seq	P adult	28	spleen	Yes	Medium	1			DBA/2J	Male	"sample obtained from inner edge of spleen, avoiding blood vessels"	49	E-MTAB-2801		Strand-specific RNA-seq of nine mouse tissues
MGI:3782191	Gm4017	predicted gene 4017	E-MTAB-2801	RNA-Seq	P adult	28	spleen	Yes	Medium	1			CD-1	Male	"sample obtained from inner edge of spleen, avoiding blood vessels"	14	E-MTAB-2801		Strand-specific RNA-seq of nine mouse tissues
MGI:3782191	Gm4017	predicted gene 4017	E-MTAB-2801	RNA-Seq	P adult	28	spleen	Yes	Medium	1			C57BL/6	Male	"sample obtained from inner edge of spleen, avoiding blood vessels"	24	E-MTAB-2801		Strand-specific RNA-seq of nine mouse tissues
MGI:3782191	Gm4017	predicted gene 4017	E-MTAB-599	RNA-Seq	P adult	28	spleen	Yes	Low	6			(DBA/2J x C57BL/6J)F1			1	E-MTAB-599		"RNA-seq of mouse DBA/2J x C57BL/6J heart, hippocampus, liver, lung, spleen and thymus"
MGI:3782191	Gm4017	predicted gene 4017	E-GEOD-74747	RNA-Seq	P w 8	28	spleen	Yes	Low	1			C57BL/6	Male		4	E-GEOD-74747		RNA-seq of 9 tissues from an adult male C57BL/6 mouse
MGI:3782191	Gm4017	predicted gene 4017	E-GEOD-60243	RNA-Seq	P w 12-14	28	spleen	Yes	Medium	8			involves: 129P2/OlaHsd * 129S2/SvPas * C57BL/6NTac	Male		16	E-GEOD-60243		Transcription profiling by high throughput sequencing of douple (TNFR1-/-/TNFR2-/-) and triple (Zfp36-/-/TNFR1-/-/TNFR2-/-) knockout mouse spleens
MGI:3782191	Gm4017	predicted gene 4017	E-MTAB-4035	RNA-Seq	P w 16	28	spleen	Yes	Medium	9			C57BL/6N	Male		17	E-MTAB-4035		"RNAseq of coding RNA in the liver, spleen, kidney, abdominal muscle and gonadal adipose tissue of knock out mice and wild type controls"
MGI:5010850	Gm18665	"predicted gene, 18665"	E-MTAB-2801	RNA-Seq	P adult	28	spleen	Yes	Low	1			C57BL/6	Male	"sample obtained from inner edge of spleen, avoiding blood vessels"	3	E-MTAB-2801		Strand-specific RNA-seq of nine mouse tissues
MGI:5010850	Gm18665	"predicted gene, 18665"	E-GEOD-74747	RNA-Seq	P w 8	28	spleen	Yes	Low	1			C57BL/6	Male		1	E-GEOD-74747		RNA-seq of 9 tissues from an adult male C57BL/6 mouse
MGI:5010850	Gm18665	"predicted gene, 18665"	E-GEOD-60243	RNA-Seq	P w 12-14	28	spleen	Yes	Low	8			involves: 129P2/OlaHsd * 129S2/SvPas * C57BL/6NTac	Male		7	E-GEOD-60243		Transcription profiling by high throughput sequencing of douple (TNFR1-/-/TNFR2-/-) and triple (Zfp36-/-/TNFR1-/-/TNFR2-/-) knockout mouse spleens
MGI:5010850	Gm18665	"predicted gene, 18665"	E-MTAB-4035	RNA-Seq	P w 16	28	spleen	Yes	Low	9			C57BL/6N	Male		0.9	E-MTAB-4035		"RNAseq of coding RNA in the liver, spleen, kidney, abdominal muscle and gonadal adipose tissue of knock out mice and wild type controls"
MGI:5433906	Gm21742	"predicted gene, 21742"	E-GEOD-60243	RNA-Seq	P w 12-14	28	spleen	Yes	Low	8			involves: 129P2/OlaHsd * 129S2/SvPas * C57BL/6NTac	Male		4	E-GEOD-60243		Transcription profiling by high throughput sequencing of douple (TNFR1-/-/TNFR2-/-) and triple (Zfp36-/-/TNFR1-/-/TNFR2-/-) knockout mouse spleens
MGI:5434024	Gm21860	"predicted gene, 21860"	E-MTAB-599	RNA-Seq	P adult	28	spleen	Yes	Low	6			(DBA/2J x C57BL/6J)F1			0.7	E-MTAB-599		"RNA-seq of mouse DBA/2J x C57BL/6J heart, hippocampus, liver, lung, spleen and thymus"
MGI:5434024	Gm21860	"predicted gene, 21860"	E-GEOD-74747	RNA-Seq	P w 8	28	spleen	Yes	Low	1			C57BL/6	Male		0.7	E-GEOD-74747		RNA-seq of 9 tissues from an adult male C57BL/6 mouse
MGI:5434024	Gm21860	"predicted gene, 21860"	E-GEOD-60243	RNA-Seq	P w 12-14	28	spleen	Yes	Low	8			involves: 129P2/OlaHsd * 129S2/SvPas * C57BL/6NTac	Male		0.5	E-GEOD-60243		Transcription profiling by high throughput sequencing of douple (TNFR1-/-/TNFR2-/-) and triple (Zfp36-/-/TNFR1-/-/TNFR2-/-) knockout mouse spleens
MGI:5580256	Gm29550	predicted gene 29550	E-MTAB-2801	RNA-Seq	P adult	28	spleen	Yes	Low	1			DBA/2J	Male	"sample obtained from inner edge of spleen, avoiding blood vessels"	0.6	E-MTAB-2801		Strand-specific RNA-seq of nine mouse tissues
MGI:5580356	Gm29650	predicted gene 29650	E-MTAB-2801	RNA-Seq	P adult	28	spleen	Yes	Medium	1			DBA/2J	Male	"sample obtained from inner edge of spleen, avoiding blood vessels"	51	E-MTAB-2801		Strand-specific RNA-seq of nine mouse tissues
MGI:5580356	Gm29650	predicted gene 29650	E-MTAB-2801	RNA-Seq	P adult	28	spleen	Yes	Medium	1			CD-1	Male	"sample obtained from inner edge of spleen, avoiding blood vessels"	24	E-MTAB-2801		Strand-specific RNA-seq of nine mouse tissues
MGI:5580356	Gm29650	predicted gene 29650	E-MTAB-2801	RNA-Seq	P adult	28	spleen	Yes	Medium	1			C57BL/6	Male	"sample obtained from inner edge of spleen, avoiding blood vessels"	28	E-MTAB-2801		Strand-specific RNA-seq of nine mouse tissues
MGI:5580356	Gm29650	predicted gene 29650	E-GEOD-74747	RNA-Seq	P w 8	28	spleen	Yes	Medium	1			C57BL/6	Male		23	E-GEOD-74747		RNA-seq of 9 tissues from an adult male C57BL/6 mouse
MGI:5580356	Gm29650	predicted gene 29650	E-GEOD-60243	RNA-Seq	P w 12-14	28	spleen	Yes	Medium	8			involves: 129P2/OlaHsd * 129S2/SvPas * C57BL/6NTac	Male		18	E-GEOD-60243		Transcription profiling by high throughput sequencing of douple (TNFR1-/-/TNFR2-/-) and triple (Zfp36-/-/TNFR1-/-/TNFR2-/-) knockout mouse spleens
MGI:5580356	Gm29650	predicted gene 29650	E-MTAB-4035	RNA-Seq	P w 16	28	spleen	Yes	Medium	9			C57BL/6N	Male		21	E-MTAB-4035		"RNAseq of coding RNA in the liver, spleen, kidney, abdominal muscle and gonadal adipose tissue of knock out mice and wild type controls"
MGI:6096131	Gm47283	"predicted gene, 47283"	E-MTAB-2801	RNA-Seq	P adult	28	spleen	Yes	Low	1			DBA/2J	Male	"sample obtained from inner edge of spleen, avoiding blood vessels"	7	E-MTAB-2801		Strand-specific RNA-seq of nine mouse tissues
MGI:6096131	Gm47283	"predicted gene, 47283"	E-MTAB-2801	RNA-Seq	P adult	28	spleen	Yes	Low	1			CD-1	Male	"sample obtained from inner edge of spleen, avoiding blood vessels"	2	E-MTAB-2801		Strand-specific RNA-seq of nine mouse tissues
