MGI Gene ID	Gene Symbol	Gene Name	MGI Assay ID	Assay Type	Age	Theiler Stage	Structure	Detected	TPM Level (RNA-Seq)	Biological Replicates (RNA-Seq)	Images	Mutant Allele(s)	Strain	Sex	Notes (RNA-Seq)	TPM (avg_quantile normalization)	MGI Reference ID	PubMed ID	Citation
MGI:1349406	Ddx3y	"DEAD box helicase 3, Y-linked"	E-GEOD-77997	RNA-Seq	P3	27	hair follicle	Yes	Medium	1			involves: 129X1/SvJ * C57BL/6 * CBA		wild-type littermate from Notch cross	21	E-GEOD-77997		"Quantitative Analysis of Notch mutant (Notch1&2-null, Psen1&2-null, RBPjk-null) and wild-type hair follicle transcriptomes by NGS"
MGI:1349406	Ddx3y	"DEAD box helicase 3, Y-linked"	E-GEOD-77997	RNA-Seq	P3	27	hair follicle	Yes	Medium	1			involves: 129P2/OlaHsd * 129S4/SvJae * 129X1/SvJ * C57BL/6 * CBA		"mixture of wild-types from Notch, Presenilin, and RBPjk crosses"	14	E-GEOD-77997		"Quantitative Analysis of Notch mutant (Notch1&2-null, Psen1&2-null, RBPjk-null) and wild-type hair follicle transcriptomes by NGS"
MGI:1349406	Ddx3y	"DEAD box helicase 3, Y-linked"	E-GEOD-77997	RNA-Seq	P3	27	hair follicle	Yes	Medium	1			involves: 129P2/OlaHsd * C57BL/6 * CBA		wild-type littermate from RBPjk cross	34	E-GEOD-77997		"Quantitative Analysis of Notch mutant (Notch1&2-null, Psen1&2-null, RBPjk-null) and wild-type hair follicle transcriptomes by NGS"
MGI:1349406	Ddx3y	"DEAD box helicase 3, Y-linked"	E-MTAB-7561	RNA-Seq	P w 8	28	brown fat	Yes	Medium	3			C57BL/6	Male	inguinal fat pad	69	E-MTAB-7561		RNA-seq of brown and white mouse adipose tissue at thermoneutrality and high-fat diet
MGI:1349406	Ddx3y	"DEAD box helicase 3, Y-linked"	E-MTAB-7561	RNA-Seq	P w 8	28	brown fat	Yes	Medium	3			C57BL/6	Male	interscapular fat pad	42	E-MTAB-7561		RNA-seq of brown and white mouse adipose tissue at thermoneutrality and high-fat diet
MGI:1349406	Ddx3y	"DEAD box helicase 3, Y-linked"	E-GEOD-74747	RNA-Seq	P w 8	28	skin	Yes	Medium	1			C57BL/6	Male		38	E-GEOD-74747		RNA-seq of 9 tissues from an adult male C57BL/6 mouse
MGI:1349406	Ddx3y	"DEAD box helicase 3, Y-linked"	E-MTAB-7445	RNA-Seq	P w 10	28	brown fat	Yes	Medium	3			C57BL/6			29	E-MTAB-7445		RNA-seq of age-associated transcriptome changes in brown adipose tissue
MGI:1349406	Ddx3y	"DEAD box helicase 3, Y-linked"	E-MTAB-9192	RNA-Seq	P w 12	28	brown fat	Yes	Medium	3			C57BL/6J	Male	interscapular brown adipose tissue	20	E-MTAB-9192		"Mouse interscapular brown, subscapular white and inguinal white adipose tissue"
MGI:1349406	Ddx3y	"DEAD box helicase 3, Y-linked"	E-GEOD-65775	RNA-Seq	P m 6	28	brown fat	Yes	Medium	4			involves: 129S1/Sv * C57BL/6J	Male	brown adipose tissue	55	E-GEOD-65775		Transcriptome profiling in knock-in mouse models of Huntington's disease [AllelicSeries_6month_TissueSurvey_mRNA]
MGI:1349406	Ddx3y	"DEAD box helicase 3, Y-linked"	E-GEOD-65775	RNA-Seq	P m 6	28	skin	Yes	Medium	3			involves: 129S1/Sv * C57BL/6J	Male		52	E-GEOD-65775		Transcriptome profiling in knock-in mouse models of Huntington's disease [AllelicSeries_6month_TissueSurvey_mRNA]
MGI:1349406	Ddx3y	"DEAD box helicase 3, Y-linked"	E-MTAB-7445	RNA-Seq	P w 76	28	brown fat	Yes	Medium	3			C57BL/6			24	E-MTAB-7445		RNA-seq of age-associated transcriptome changes in brown adipose tissue
MGI:1349430	Eif2s3y	"eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked"	E-GEOD-77997	RNA-Seq	P3	27	hair follicle	Yes	Medium	1			involves: 129X1/SvJ * C57BL/6 * CBA		wild-type littermate from Notch cross	27	E-GEOD-77997		"Quantitative Analysis of Notch mutant (Notch1&2-null, Psen1&2-null, RBPjk-null) and wild-type hair follicle transcriptomes by NGS"
MGI:1349430	Eif2s3y	"eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked"	E-GEOD-77997	RNA-Seq	P3	27	hair follicle	Yes	Medium	1			involves: 129P2/OlaHsd * 129S4/SvJae * 129X1/SvJ * C57BL/6 * CBA		"mixture of wild-types from Notch, Presenilin, and RBPjk crosses"	15	E-GEOD-77997		"Quantitative Analysis of Notch mutant (Notch1&2-null, Psen1&2-null, RBPjk-null) and wild-type hair follicle transcriptomes by NGS"
MGI:1349430	Eif2s3y	"eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked"	E-GEOD-77997	RNA-Seq	P3	27	hair follicle	Yes	Medium	1			involves: 129P2/OlaHsd * C57BL/6 * CBA		wild-type littermate from RBPjk cross	37	E-GEOD-77997		"Quantitative Analysis of Notch mutant (Notch1&2-null, Psen1&2-null, RBPjk-null) and wild-type hair follicle transcriptomes by NGS"
MGI:1349430	Eif2s3y	"eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked"	E-MTAB-7561	RNA-Seq	P w 8	28	brown fat	Yes	Medium	3			C57BL/6	Male	inguinal fat pad	57	E-MTAB-7561		RNA-seq of brown and white mouse adipose tissue at thermoneutrality and high-fat diet
MGI:1349430	Eif2s3y	"eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked"	E-MTAB-7561	RNA-Seq	P w 8	28	brown fat	Yes	Medium	3			C57BL/6	Male	interscapular fat pad	34	E-MTAB-7561		RNA-seq of brown and white mouse adipose tissue at thermoneutrality and high-fat diet
MGI:1349430	Eif2s3y	"eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked"	E-GEOD-74747	RNA-Seq	P w 8	28	skin	Yes	Medium	1			C57BL/6	Male		38	E-GEOD-74747		RNA-seq of 9 tissues from an adult male C57BL/6 mouse
MGI:1349430	Eif2s3y	"eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked"	E-MTAB-7445	RNA-Seq	P w 10	28	brown fat	Yes	Medium	3			C57BL/6			33	E-MTAB-7445		RNA-seq of age-associated transcriptome changes in brown adipose tissue
MGI:1349430	Eif2s3y	"eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked"	E-MTAB-9192	RNA-Seq	P w 12	28	brown fat	Yes	Medium	3			C57BL/6J	Male	interscapular brown adipose tissue	16	E-MTAB-9192		"Mouse interscapular brown, subscapular white and inguinal white adipose tissue"
MGI:1349430	Eif2s3y	"eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked"	E-GEOD-65775	RNA-Seq	P m 6	28	brown fat	Yes	Medium	4			involves: 129S1/Sv * C57BL/6J	Male	brown adipose tissue	62	E-GEOD-65775		Transcriptome profiling in knock-in mouse models of Huntington's disease [AllelicSeries_6month_TissueSurvey_mRNA]
MGI:1349430	Eif2s3y	"eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked"	E-GEOD-65775	RNA-Seq	P m 6	28	skin	Yes	Medium	3			involves: 129S1/Sv * C57BL/6J	Male		84	E-GEOD-65775		Transcriptome profiling in knock-in mouse models of Huntington's disease [AllelicSeries_6month_TissueSurvey_mRNA]
MGI:1349430	Eif2s3y	"eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked"	E-MTAB-7445	RNA-Seq	P w 76	28	brown fat	Yes	Medium	3			C57BL/6			28	E-MTAB-7445		RNA-seq of age-associated transcriptome changes in brown adipose tissue
MGI:3782191	Gm4017	predicted gene 4017	E-GEOD-77997	RNA-Seq	P3	27	hair follicle	Yes	Low	1			involves: 129X1/SvJ * C57BL/6 * CBA		wild-type littermate from Notch cross	2	E-GEOD-77997		"Quantitative Analysis of Notch mutant (Notch1&2-null, Psen1&2-null, RBPjk-null) and wild-type hair follicle transcriptomes by NGS"
MGI:3782191	Gm4017	predicted gene 4017	E-GEOD-77997	RNA-Seq	P3	27	hair follicle	Yes	Low	1			involves: 129P2/OlaHsd * 129S4/SvJae * 129X1/SvJ * C57BL/6 * CBA		"mixture of wild-types from Notch, Presenilin, and RBPjk crosses"	2	E-GEOD-77997		"Quantitative Analysis of Notch mutant (Notch1&2-null, Psen1&2-null, RBPjk-null) and wild-type hair follicle transcriptomes by NGS"
MGI:3782191	Gm4017	predicted gene 4017	E-GEOD-77997	RNA-Seq	P3	27	hair follicle	Yes	Low	1			involves: 129P2/OlaHsd * C57BL/6 * CBA		wild-type littermate from RBPjk cross	2	E-GEOD-77997		"Quantitative Analysis of Notch mutant (Notch1&2-null, Psen1&2-null, RBPjk-null) and wild-type hair follicle transcriptomes by NGS"
MGI:3782191	Gm4017	predicted gene 4017	E-MTAB-7561	RNA-Seq	P w 8	28	brown fat	Yes	Low	3			C57BL/6	Male	inguinal fat pad	1	E-MTAB-7561		RNA-seq of brown and white mouse adipose tissue at thermoneutrality and high-fat diet
MGI:3782191	Gm4017	predicted gene 4017	E-MTAB-7561	RNA-Seq	P w 8	28	brown fat	Yes	Low	3			C57BL/6	Male	interscapular fat pad	2	E-MTAB-7561		RNA-seq of brown and white mouse adipose tissue at thermoneutrality and high-fat diet
MGI:3782191	Gm4017	predicted gene 4017	E-GEOD-74747	RNA-Seq	P w 8	28	skin	Yes	Low	1			C57BL/6	Male		2	E-GEOD-74747		RNA-seq of 9 tissues from an adult male C57BL/6 mouse
MGI:3782191	Gm4017	predicted gene 4017	E-MTAB-7445	RNA-Seq	P w 10	28	brown fat	Yes	Low	3			C57BL/6			2	E-MTAB-7445		RNA-seq of age-associated transcriptome changes in brown adipose tissue
MGI:3782191	Gm4017	predicted gene 4017	E-MTAB-9192	RNA-Seq	P w 12	28	brown fat	Yes	Low	3			C57BL/6J	Male	interscapular brown adipose tissue	5	E-MTAB-9192		"Mouse interscapular brown, subscapular white and inguinal white adipose tissue"
MGI:3782191	Gm4017	predicted gene 4017	E-GEOD-65775	RNA-Seq	P m 6	28	brown fat	Yes	Low	4			involves: 129S1/Sv * C57BL/6J	Male	brown adipose tissue	0.9	E-GEOD-65775		Transcriptome profiling in knock-in mouse models of Huntington's disease [AllelicSeries_6month_TissueSurvey_mRNA]
MGI:3782191	Gm4017	predicted gene 4017	E-GEOD-65775	RNA-Seq	P m 6	28	skin	Yes	Low	3			involves: 129S1/Sv * C57BL/6J	Male		10	E-GEOD-65775		Transcriptome profiling in knock-in mouse models of Huntington's disease [AllelicSeries_6month_TissueSurvey_mRNA]
MGI:3782191	Gm4017	predicted gene 4017	E-MTAB-7445	RNA-Seq	P w 76	28	brown fat	Yes	Low	3			C57BL/6			1	E-MTAB-7445		RNA-seq of age-associated transcriptome changes in brown adipose tissue
MGI:5010850	Gm18665	"predicted gene, 18665"	E-GEOD-77997	RNA-Seq	P3	27	hair follicle	Yes	Low	1			involves: 129X1/SvJ * C57BL/6 * CBA		wild-type littermate from Notch cross	4	E-GEOD-77997		"Quantitative Analysis of Notch mutant (Notch1&2-null, Psen1&2-null, RBPjk-null) and wild-type hair follicle transcriptomes by NGS"
